HP 1;HP 10;HP 100;HP 101;HP 102;HP 103;HP 104;HP 106;HP 109;HP 11;HP 110;HP 111;HP 112;HP 113;HP 115;HP 116;HP 117;HP 12;HP 121;HP 122;HP 123;HP 124;HP 125;HP 126;HP 127;HP 128;HP 129;HP 13;HP 130;HP 131;HP 132;HP 133;HP 136;HP 138;HP 139;HP 14;HP 140;HP 141;HP 142;HP 143;HP 144;HP 145;HP 146;HP 15;HP 150;HP 152;HP 153;HP 154;HP 156;HP 157;HP 158;HP 159;HP 16;HP 160;HP 161;HP 162;HP 163;HP 165;HP 166;HP 167;HP 168;HP 17;HP 172;HP 173;HP 174;HP 176;HP 177;HP 178;HP 179;HP 18;HP 180;HP 181;HP 182;HP 184;HP 185;HP 186;HP 187;HP 188;HP 19;HP 192;HP 2;HP 20;HP 21;HP 22;HP 23;HP 24;HP 25;HP 26;HP 27;HP 28;HP 29;HP 30;HP 31;HP 32;HP 33;HP 34;HP 35;HP 36;HP 37;HP 38;HP 39;HP 40;HP 41;HP 42;HP 43;HP 44;HP 45;HP 46;HP 47;HP 48;HP 49;HP 50;HP 51;HP 52;HP 53;HP 54;HP 55;HP 56;HP 57;HP 58;HP 59;HP 6;HP 60;HP 65;HP 67;HP 68;HP 69;HP 7;HP 70;HP 71;HP 72;HP 76;HP 77;HP 8;HP 80;HP 81;HP 82;HP 85;HP 86;HP 87;HP 88;HP 89;HP 9;HP 90;HP 93;HP 95;HP 96;HP 98;HP 99
HP 138;88.193054;379.732422;254.434692;246.314255;267.892303;267.583191;292.606873;318.943542;325.691162;392.032562;239.340485;180.359009;165.674973;165.270386;143.101196;142.604340;142.685059;403.567047;381.637085;364.032349;345.467346;124.787247;159.376175;186.585312;126.390602;161.282013;187.209549;303.336212;226.878937;251.845673;248.396057;229.831024;302.490631;0.000000;51.620300;319.324371;166.238190;374.558289;107.660797;142.807327;213.541656;130.057556;162.449280;394.815948;282.170776;409.771606;376.407349;424.054626;206.455658;271.006531;304.261505;305.817230;378.821808;353.292633;444.298676;422.319702;401.029297;272.734558;434.768555;395.032776;302.547241;382.779907;275.744324;429.403229;409.431824;288.845856;203.551392;390.990967;169.810593;366.780762;250.981003;395.119507;202.713608;217.173920;136.568542;206.826950;209.146851;255.025787;373.977448;569.755493;133.402405;357.978790;343.797546;447.511597;364.356720;387.632782;417.331665;394.055603;361.544250;226.467804;272.493439;259.194061;317.044739;303.745361;221.834290;211.767242;201.175415;190.030518;283.437531;269.872650;232.059784;217.596710;211.500916;234.245850;223.982147;291.433655;307.588287;332.392822;288.849731;300.517975;248.443634;379.453613;395.819641;400.477112;557.121826;438.599731;391.674683;294.350555;294.251678;196.927521;296.456726;282.830078;357.550659;286.865753;402.979279;416.570831;435.391693;325.466064;309.302032;332.017120;362.027832;222.015091;448.123901;429.982117;278.080353;225.804413;250.512909;242.305206;316.662720;218.052277;255.784561;196.315552;418.447632;214.386124;339.941437;537.659241;447.189301;429.453156;232.476517
HP 139;139.813354;431.352722;306.054993;297.934570;319.512634;319.203522;240.986572;267.323242;274.070862;443.652863;225.084198;231.979309;217.295273;216.890686;194.721497;194.224640;194.305359;455.187347;433.257385;415.652649;397.087646;176.407547;210.996475;238.205612;178.010910;212.902328;238.829865;354.956512;175.258636;200.225372;196.775757;178.210724;250.870331;51.620300;0.000000;370.944672;217.858490;322.938019;159.281097;194.427628;161.921356;78.437256;116.658569;446.436249;333.791077;461.391907;428.027649;475.674927;258.075958;322.626801;355.881805;357.437531;430.442108;404.912933;495.918976;473.940002;452.649597;324.354858;486.388855;446.653076;354.167542;434.400208;327.364624;481.023560;461.052155;340.466156;255.171692;339.370667;118.190292;418.401062;302.601318;446.739807;254.333908;268.794250;188.188843;258.447266;260.767151;306.646088;425.597748;621.375732;185.022705;409.599091;395.417847;499.131897;415.977020;439.253082;468.951965;445.675903;413.164551;278.088104;324.113739;310.814362;368.665039;355.365662;273.454590;263.387543;252.795715;241.650818;269.181244;255.616364;217.803497;203.340424;263.121216;285.866150;275.602448;343.053955;359.208588;384.013123;340.470032;286.261688;234.187347;431.073914;447.439941;452.097412;608.742065;490.220032;443.295013;345.970856;345.871979;248.547821;348.077026;334.450378;409.170959;338.486053;454.599609;468.191162;487.012024;377.086365;257.681732;280.396820;310.407532;273.635406;499.744202;481.602417;263.824066;211.548126;236.256622;228.048920;303.901337;269.672577;307.404846;247.935852;470.067932;266.006409;391.561737;589.279480;498.809601;481.073456;284.096832
HP 14;231.131317;285.567047;481.142334;473.021912;494.599976;506.830719;611.931274;638.267944;645.015503;273.266907;343.534973;407.066650;392.382599;391.978027;369.808838;369.311981;369.392700;288.716125;242.409470;224.804733;206.239716;363.736603;398.325531;425.534668;377.534546;412.425964;438.353485;15.988159;546.203308;571.170044;567.720398;549.155396;621.815002;319.324371;370.944672;0.000000;212.197617;592.273315;346.610168;369.514954;532.866028;449.381927;340.921967;75.491608;115.723602;220.355011;186.990768;196.253647;170.992249;193.311722;158.846878;114.428299;91.473747;152.224854;247.984497;269.963470;295.168640;239.090897;318.455994;75.708435;227.444489;63.455566;148.493576;407.213623;387.242218;360.084930;274.790466;710.315308;463.220947;79.432709;477.688660;316.247070;262.380493;456.919342;182.755829;311.021454;313.341339;179.923035;54.653091;283.597443;288.857635;70.630730;24.473175;128.187256;45.032349;68.308434;98.007317;74.731232;193.740509;151.365051;197.390686;183.011230;238.240021;223.860565;326.028778;315.961731;305.369904;294.225006;387.632019;374.067139;336.254272;321.791199;315.695404;338.440338;210.384827;216.330902;232.485535;253.588104;213.746979;404.712463;352.638123;60.129265;76.495277;81.152771;270.963837;322.287170;369.485077;272.160919;365.490753;268.166595;218.761948;137.415451;279.855865;159.615005;380.789673;394.381226;413.202087;180.051422;628.626404;651.341492;681.352173;243.831757;161.965866;262.301056;382.274841;329.998901;354.707397;346.499695;420.857208;322.246765;359.979034;300.510040;246.851807;318.580597;20.617065;251.501205;271.330078;289.066223;459.184174
HP 140;188.229935;272.605652;268.944702;260.824280;282.402344;294.633087;458.845062;485.181732;491.929321;284.905792;339.377350;194.869019;180.184998;179.780411;157.611221;157.114365;157.195084;296.440277;274.510345;256.905609;238.340591;151.538986;186.127914;213.337051;165.336868;200.228287;226.155823;196.209442;393.117126;418.083862;414.634216;396.069214;468.728821;166.238174;217.858475;212.197601;0.000000;540.796509;134.412537;157.317352;379.779816;296.295715;262.486145;287.689240;192.988831;302.644836;269.280609;316.927856;99.328896;163.879761;197.134766;198.690491;271.695038;246.165878;337.171906;315.192932;293.902527;106.496368;327.641785;287.906067;298.075348;275.653198;168.617554;263.165070;243.193665;147.887314;62.592846;557.229126;336.048767;259.653992;265.491028;287.992737;50.182884;244.721725;179.660858;306.863861;309.183746;250.553894;266.850708;462.628693;233.439285;250.852020;236.670776;340.384857;257.229950;280.506042;310.204926;286.928833;357.072357;221.995911;268.021545;253.642090;312.572845;298.193390;321.871185;311.804138;301.212311;290.067413;383.474396;369.909515;332.096649;317.633575;311.537811;334.282745;281.015686;286.961761;303.116394;327.920929;284.377838;400.554840;348.480499;272.326874;288.692871;293.350403;449.995087;331.472961;225.436523;128.112366;153.293121;55.968975;130.260559;175.703339;191.354477;179.738983;236.741119;250.332672;269.153534;218.339310;475.540222;498.255280;528.265991;55.776924;340.997131;322.855347;378.117218;325.841278;350.549774;342.342072;416.699615;318.089172;355.821442;296.352448;311.320862;314.423004;232.814667;430.532471;340.062531;322.326385;246.986542
HP 141;399.885742;754.290649;628.992981;620.872498;642.450562;642.141479;477.288727;503.625397;510.372986;766.590820;359.776947;554.917297;540.233276;539.828674;517.659485;517.162659;517.243347;778.125305;741.981750;724.377014;705.812012;499.345520;533.934448;561.143616;500.948944;535.840332;561.767883;576.285156;411.560791;436.527527;433.077881;414.512878;487.172485;374.558289;322.937988;592.273315;540.796509;0.000000;482.219086;517.365601;398.223480;244.500748;325.629517;667.764893;555.119751;719.927368;686.563110;697.003601;581.013916;645.564819;658.419189;614.000610;651.770752;651.797241;748.734375;770.713318;775.587524;647.292847;809.326782;667.981750;547.817322;655.728882;648.065918;803.961548;783.990112;663.404053;578.109619;575.672791;226.426300;639.729736;625.539246;769.677734;577.271790;591.732239;409.517456;452.097046;454.416931;500.295868;646.926392;842.704468;420.052246;630.927734;616.746460;720.460571;637.305664;660.581787;690.280640;667.004517;606.814331;471.737885;517.763550;532.142944;562.314819;576.694214;467.104370;457.037323;446.445496;435.300598;403.873993;390.309113;352.496246;338.033173;456.770996;479.515930;469.252228;536.703735;552.858398;577.662903;534.119812;420.954437;368.880096;652.402588;668.768616;673.426086;830.070801;813.157959;766.232910;668.908813;668.809875;571.485718;671.015015;636.987793;732.108948;659.187378;777.537537;791.129150;809.950012;679.623718;493.983887;516.698914;546.709656;596.573425;721.072937;763.050903;398.516815;346.240875;370.949371;362.741669;438.594086;463.322357;501.054626;441.585632;747.601685;459.656189;612.890381;810.608215;772.079956;789.816101;607.034790
HP 142;129.652557;407.018250;146.773895;138.653458;160.231506;172.462250;400.267670;426.604340;433.351929;419.318390;280.799988;72.698196;58.014168;57.609589;35.440399;34.943550;35.024261;430.852875;408.922913;391.318176;372.753174;33.867294;68.456223;95.665367;48.716568;83.607986;109.535522;330.622009;334.539734;359.506470;356.056824;337.491821;410.151428;107.660797;159.281097;346.610168;134.412537;482.219086;0.000000;35.146530;321.202423;237.718353;203.908783;422.101776;310.250244;437.057434;403.693176;451.340393;233.741440;298.292328;331.547333;333.103058;406.107605;380.578461;471.584503;449.605530;428.315125;219.326401;462.054382;422.318604;331.706757;410.065735;303.030090;332.197754;312.226349;181.185059;95.890594;498.651733;277.471375;394.066559;143.320206;422.405334;95.052818;122.550888;178.028046;248.286453;250.606354;284.185303;401.263275;597.041260;174.861908;385.264587;371.083344;474.797394;391.642517;414.918579;444.617462;421.341400;390.703766;255.627335;301.652954;287.273529;346.204254;331.824829;263.293793;253.226746;242.634918;231.490021;324.897034;311.332153;273.519287;259.056213;252.960419;275.705353;265.441650;320.593170;336.747803;361.552338;318.009247;341.977478;289.903137;406.739410;423.105408;427.762939;584.407593;465.885559;294.469208;197.145050;186.590881;89.266724;264.673096;310.115906;304.217590;314.151520;305.773804;319.365356;338.186218;352.751892;416.962830;439.677887;469.688599;124.809601;475.409668;457.267944;319.539856;267.263916;291.972412;283.764709;358.122223;259.511780;297.244049;237.775055;445.733459;255.845627;367.227234;564.945007;474.475128;456.738983;124.815720
HP 143;164.799088;429.923035;111.813332;103.692902;125.270958;137.501709;435.414215;461.750885;468.498474;442.223175;315.946503;37.551666;23.053610;22.463058;0.293869;0.249116;0.122269;453.757660;431.827698;414.222961;395.657959;69.013824;93.224541;66.015396;83.863098;105.715164;79.787636;353.526794;369.686279;394.653015;391.203369;372.638367;445.297974;142.807327;194.427628;369.514954;157.317352;517.365601;35.146530;0.000000;356.348969;272.864868;239.055313;445.006561;344.363068;459.962219;426.597961;474.245178;256.646240;321.197113;354.452118;356.007843;429.012390;403.483246;494.489288;472.510315;451.219910;231.408051;484.959167;445.223389;365.819611;432.970520;325.934875;344.279388;324.307983;193.266708;107.972244;533.798279;312.617920;416.971344;108.359657;445.310120;107.134468;87.590332;213.174576;283.432983;285.752869;318.298157;424.168060;619.946045;210.008438;408.169373;393.988129;497.702179;414.547302;437.823364;467.522247;444.246185;424.816620;289.740173;335.765808;321.386353;380.317108;365.937653;298.440308;288.373260;277.781433;266.636536;360.043549;346.478668;308.665802;294.202728;288.106934;310.851868;300.588165;354.706024;370.860657;395.665192;352.122101;377.123993;325.049652;429.644196;446.010193;450.667725;607.312378;488.790344;306.550842;209.226700;198.672516;101.348373;287.577942;333.020691;316.299255;337.056305;317.855438;331.446991;350.267853;375.656677;452.109375;474.824432;504.835144;136.891251;498.314453;480.172729;354.686371;302.410431;327.118927;318.911224;393.268738;294.658295;332.390564;272.921570;468.638245;290.992126;390.132019;587.849792;497.379913;479.643768;89.855164
HP 144;301.734711;593.274048;467.976349;459.855927;481.433960;481.124908;79.065239;105.401909;120.541786;605.574219;300.369690;393.900696;379.216614;378.812073;356.642883;356.145996;356.226715;617.108704;595.178772;577.574036;559.009033;338.328888;372.917816;400.126953;339.932312;374.823730;400.751251;516.877869;62.203087;87.169823;34.854393;24.681664;88.948990;213.541656;161.921356;532.866028;379.779846;398.223511;321.202454;356.348999;0.000000;153.722748;191.944061;608.357666;495.712433;623.313293;589.949036;637.596252;419.997314;484.548187;517.803223;519.358887;592.363464;566.834351;657.840332;635.861389;614.570923;486.276215;648.310181;608.574524;488.410065;596.321655;489.285950;642.944946;622.973511;502.387512;417.093048;185.841583;193.475784;580.322449;464.522675;608.661133;416.255280;430.715637;350.110199;392.689789;395.009674;440.888611;587.519165;783.297119;286.366791;571.520447;557.339233;661.053223;577.898376;601.174438;630.873291;607.597290;547.407104;412.330627;458.356262;472.735718;502.907562;517.286987;407.697113;397.630066;387.038239;375.893341;344.466736;330.901855;293.088989;278.625916;397.363739;420.108673;409.844971;477.296478;493.451111;518.255615;474.712555;361.547180;309.472839;592.995300;609.361328;614.018860;770.663452;652.141357;605.216309;507.892212;507.793335;410.469177;509.998413;496.371765;571.092346;500.407379;616.520935;630.112549;648.933411;539.007751;95.760391;118.475464;156.878448;435.556763;661.665588;643.523804;339.109558;286.833618;311.542114;303.334412;379.186829;403.915100;441.647369;382.178375;631.989380;400.248932;553.483093;751.200867;660.731018;642.994873;446.018188
HP 145;218.250610;509.789978;384.492249;376.371826;397.949890;397.640717;232.787964;259.124634;265.872253;522.090088;216.885590;310.416565;295.732513;295.327942;273.158752;272.661896;272.742615;533.624573;511.694641;494.089905;475.524902;254.844803;289.433716;316.642853;256.448151;291.339569;317.267090;433.393768;167.060028;192.026764;188.577148;170.012115;242.671722;130.057556;78.437256;449.381927;296.295715;244.500732;237.718353;272.864868;153.722748;0.000000;108.459961;524.873535;412.228333;539.829163;506.464905;554.112183;336.513214;401.064056;434.319061;435.874786;508.879364;483.350189;574.356201;552.377258;531.086792;402.792084;564.826050;525.090332;404.925964;512.837463;405.801880;559.460815;539.489380;418.903412;333.608948;331.172058;39.753036;496.838318;381.038574;525.177002;332.771179;347.231476;266.626099;309.205688;311.525574;357.404510;504.035004;699.812988;202.882690;488.036346;473.855103;577.569092;494.414276;517.690308;547.389160;524.113159;463.922974;328.846527;374.872162;389.251617;419.423462;433.802917;324.213013;314.145966;303.554138;292.409241;260.982635;247.417755;209.604889;195.141815;313.879639;336.624573;326.360870;393.812378;409.967010;434.771545;391.228455;278.063080;225.988739;509.511169;525.877197;530.534668;687.179321;568.657227;521.732239;424.408081;424.309235;326.985077;426.514282;412.887634;487.608215;416.923309;533.036865;546.628418;565.449280;455.523621;249.483124;272.198212;302.208923;352.072632;578.181458;560.039673;255.625458;203.349518;228.058014;219.850311;295.702728;320.431000;358.163269;298.694275;548.505249;316.764832;469.998993;667.716736;577.246887;559.510742;362.534088
HP 146;109.790649;475.980408;350.682678;342.562256;364.140320;363.831146;271.009277;297.345947;304.093567;488.280548;180.456512;276.606995;261.922943;261.518372;239.349182;238.852325;238.933044;499.815033;477.885071;460.280334;441.715332;221.035233;255.624161;282.833313;222.638580;257.529999;283.457520;324.933807;205.281342;230.248077;226.798462;208.233429;280.893036;162.449280;116.658569;340.921967;262.486145;325.629547;203.908783;239.055313;191.944061;108.459961;0.000000;416.413544;303.768372;468.575989;435.211731;445.652222;302.703644;367.254486;400.509491;362.649261;400.419403;400.445831;497.383057;518.567688;497.277283;368.982513;531.016479;416.630371;324.144836;404.377502;371.992310;525.651245;505.679810;385.093842;299.799377;369.393372;148.212997;388.378357;347.229004;491.367493;298.961609;313.421906;158.166138;228.424545;230.744446;276.623383;395.575043;591.353027;94.422729;379.576385;365.395142;469.109192;385.954315;409.230377;438.929260;415.653198;383.141846;248.065399;294.091034;280.791656;338.642334;325.342957;243.431885;233.364838;222.773010;211.628113;224.553558;210.988678;173.175812;158.712738;233.098511;255.843445;245.579742;313.031250;329.185883;353.990417;310.447327;241.634003;189.559662;401.051208;417.417236;422.074707;578.719360;534.847656;487.922668;390.598511;390.499664;293.175507;392.704712;379.078064;453.798645;383.113739;499.227264;512.818848;531.639709;421.714050;287.704437;310.419525;340.430237;318.263062;469.721497;511.699615;219.196381;166.920441;191.628937;183.421234;259.273651;239.649872;277.382141;217.913147;496.250366;235.983719;361.539032;559.256775;520.728638;525.701172;328.724518
HP 15;306.622925;210.872284;556.633972;548.513489;570.091553;582.322266;687.422913;713.759583;720.507141;198.572144;419.026581;482.558228;467.874176;467.469604;445.300415;444.803558;444.884277;214.021378;206.324951;188.720215;170.155197;439.228180;473.817108;501.026245;453.026123;487.917542;513.845093;91.479767;621.694946;646.661682;643.212036;624.647034;697.306641;394.815979;446.436279;75.491608;287.689209;667.764893;422.101746;445.006531;608.357666;524.873535;416.413574;0.000000;191.215210;180.833115;150.906250;121.558899;246.483856;198.426453;165.171448;163.615723;16.778996;116.140335;173.289734;195.268707;220.473907;301.440460;243.761185;24.288910;302.936096;12.036041;223.985184;482.705200;462.733795;435.576508;350.282043;785.806946;538.712524;28.688879;553.180237;241.552338;337.872070;532.410889;258.247437;386.513062;388.832947;255.414642;20.838516;208.902679;364.349243;37.399132;51.018433;155.929596;120.523956;96.050781;125.749664;150.222839;269.232117;226.856659;272.882294;258.502838;313.731628;299.352173;401.520386;391.453339;380.861511;369.716614;463.123627;449.558746;411.745880;397.282806;391.187012;413.931946;285.876434;291.822510;307.977142;329.079712;289.238586;480.204071;428.129730;87.871613;104.237625;29.733246;196.269089;247.592377;444.976654;347.652496;440.982330;343.658173;267.949341;186.602875;329.043274;235.106613;456.281250;469.872803;488.693665;143.966904;704.118042;726.833130;756.843811;319.323334;87.271118;187.606293;457.766449;405.490509;430.199005;421.991302;496.348816;397.738373;435.470642;376.001648;172.157059;394.072205;96.108673;176.806458;196.635300;214.371429;534.675781
HP 150;193.977722;309.767242;455.990417;447.869995;469.448059;481.678802;574.777710;601.114380;607.861938;297.467102;306.381378;381.914734;367.230682;366.826111;344.656921;344.160065;344.240784;312.916382;265.432068;247.827347;229.262329;327.376648;361.965576;389.174713;341.174591;376.066010;401.993530;99.735443;509.049744;534.016479;530.566833;512.001831;584.661438;282.170776;333.791077;115.723602;192.988846;555.119629;310.250214;344.363037;495.712433;412.228333;303.768372;191.215210;0.000000;243.377625;210.013382;220.453873;151.783478;216.334335;181.869492;137.450912;175.221039;175.247467;272.184723;294.163696;319.368896;219.882126;342.656219;191.432037;190.290894;179.179169;171.516190;388.004852;368.033447;340.876160;255.581696;673.161743;426.067322;163.180008;452.536743;340.447327;243.171738;431.767426;145.602234;273.867859;276.187744;142.769440;170.376694;366.154694;251.704041;154.378021;140.196777;165.779663;160.755951;184.032043;195.177094;170.703918;170.717896;114.211456;160.237091;145.857635;204.788391;190.408936;288.875183;278.808136;268.216309;257.071411;350.478424;336.913544;299.100677;284.637604;278.541809;301.286743;173.231232;179.177307;195.331940;220.136475;176.593384;367.558868;315.484528;175.852875;192.218887;196.876373;353.521088;346.487427;350.276306;252.952148;346.281982;248.957825;241.784561;160.438065;302.878479;182.637619;361.580902;375.172455;393.993317;203.074036;591.472839;614.187927;644.198608;224.622986;244.523148;286.501282;345.121246;292.845306;317.553802;309.346100;383.703613;285.093170;322.825439;263.356445;271.052032;281.427002;136.340668;334.058472;295.530304;313.266449;434.032257
HP 152;358.785339;66.389633;571.589539;563.469055;585.047119;597.277832;702.378540;728.715210;735.462769;54.089493;471.188995;497.513855;482.829803;482.425232;460.256042;459.759186;459.839905;69.538734;64.484970;82.089706;100.654724;454.183807;488.772736;515.981873;467.981750;502.873169;528.800720;204.366852;636.650574;661.617310;658.167664;639.602661;712.262268;409.771606;461.391907;220.355011;302.644836;719.927246;437.057373;459.962158;623.313293;539.829163;468.575989;180.833099;243.377625;0.000000;33.364243;59.274216;203.315948;138.765091;105.510086;141.161148;164.054108;68.130157;57.440208;50.786064;75.991264;241.779099;101.522049;205.000839;355.098511;192.747971;208.875809;432.975128;413.003723;450.532135;365.237671;800.762573;579.582214;176.095139;568.135803;97.069695;352.827698;547.366577;310.409851;438.675476;440.995361;307.577057;201.457733;188.970764;416.511658;184.897125;231.175919;336.087097;265.387360;276.208282;305.907166;295.086243;414.095520;279.019073;325.044708;310.665253;369.596008;355.216553;453.682800;443.615753;433.023926;421.879028;515.286011;501.721161;463.908295;449.445221;443.349426;466.094360;338.038849;343.984924;360.139557;384.944092;341.401001;532.366455;480.292145;268.029114;284.395142;210.445175;176.337158;105.353241;395.246582;297.922394;455.937958;358.613800;208.288010;126.941513;269.381927;219.997238;406.551178;420.142731;438.963593;84.305542;719.073669;741.788757;771.799438;334.278961;159.524063;43.123650;509.928864;457.652924;482.361420;474.153717;548.511230;449.900787;487.633057;428.164062;27.674408;446.234619;240.972076;156.874527;62.130257;72.132286;549.631348
HP 153;325.421082;99.753876;538.225403;530.104919;551.682983;563.913696;669.014282;695.350952;702.098511;87.453735;437.824738;464.149658;449.465607;449.061035;426.891846;426.394989;426.475708;102.902977;97.849213;95.694611;77.129593;420.819580;455.408508;482.617645;434.617523;469.508942;495.436462;171.002609;603.286316;628.253052;624.803406;606.238403;678.898010;376.407349;428.027649;186.990768;269.280609;686.562988;403.693146;426.597961;589.949036;506.464905;435.211731;150.906250;210.013382;33.364243;0.000000;92.638458;169.951706;105.400848;72.145844;107.796906;134.127258;34.765915;90.804451;84.150307;109.355507;208.414841;134.886292;175.073990;321.734283;162.821121;175.511566;399.610870;379.639465;417.167938;331.873474;767.398315;546.217957;146.168289;534.771667;130.433929;319.463501;514.002319;277.045593;405.311218;407.631104;274.212830;171.530884;222.334991;383.147400;154.970276;201.249069;306.160248;232.023117;246.281418;275.980316;261.721985;380.731262;245.654831;291.680481;277.301025;336.231781;321.852325;420.318542;410.251495;399.659668;388.514771;481.921783;468.356903;430.544037;416.080963;409.985168;432.730103;304.674622;310.620697;326.775330;351.579865;308.036774;499.002228;446.927887;238.102249;254.468262;180.518326;209.701401;138.717484;361.882324;264.558136;422.573761;325.249603;174.923752;93.577271;236.017670;186.632996;373.186920;386.778473;405.599335;50.941299;685.709412;708.424500;738.435181;300.914764;129.597198;76.487892;476.564606;424.288666;448.997162;440.789459;515.146973;416.536530;454.268799;394.799805;61.038651;412.870361;207.607834;190.238770;95.494499;105.496529;516.267212
HP 154;335.861572;89.313385;585.872620;577.752136;599.330200;611.560913;716.661560;742.998230;749.745789;77.013245;448.265228;511.796936;497.112885;496.708313;474.539124;474.042267;474.122986;92.462486;87.408722;105.013458;123.578476;468.466858;503.055786;530.264954;482.264801;517.156189;543.083740;180.265503;650.933594;675.900330;672.450684;653.885681;726.545288;424.054626;475.674927;196.253662;316.927887;697.003540;451.340424;474.245239;637.596313;554.112183;445.652222;121.558899;220.453873;59.274216;92.638458;0.000000;217.598984;153.048126;119.793121;118.237396;104.779907;70.762009;51.730843;73.709816;98.915016;256.062134;122.202309;145.726654;332.174744;133.473785;185.952057;447.258148;427.286743;464.815216;379.520752;815.045593;567.951233;116.820946;582.418884;119.993446;367.110779;561.649658;287.486084;415.751709;418.071594;284.653320;142.183533;145.700836;393.587891;125.622925;171.901718;276.812866;241.286011;216.934067;246.632950;270.984894;389.994171;256.095337;302.120941;287.741486;346.672241;332.292786;430.759033;420.691986;410.100159;398.955261;492.362274;478.797394;440.984528;426.521454;420.425659;443.170593;315.115112;321.061157;337.215790;362.020325;318.477234;509.442719;457.368378;208.754898;225.120911;151.170990;133.067245;126.033501;409.529602;312.205414;470.221039;372.896881;222.571030;141.224548;283.664948;197.073486;420.834198;434.425751;453.246613;98.588577;733.356689;756.071777;786.082458;348.562042;100.249847;66.047401;487.005096;434.729156;459.437653;451.229950;525.587463;426.977020;464.709290;405.240295;50.598160;423.310852;216.870728;113.604614;75.076408;92.812546;563.914429
HP 156;228.447418;173.276779;368.273621;360.153198;381.731262;393.962006;499.062531;525.399170;532.146790;185.576920;379.594849;294.197906;279.513885;279.109314;256.940125;256.443268;256.523987;197.111389;175.181442;157.576706;139.011688;250.867889;285.456818;312.665955;264.665771;299.557190;325.484711;155.004089;433.334595;458.301331;454.851685;436.286682;508.946289;206.455658;258.075958;170.992249;99.328896;581.013916;233.741440;256.646240;419.997284;336.513214;302.703644;246.483856;151.783478;203.315948;169.951706;217.598984;0.000000;64.550858;97.805862;99.361588;230.489685;146.836975;237.843033;215.864059;194.573639;123.492165;228.312881;246.700684;263.504364;234.447815;69.288651;294.344879;274.373474;247.216202;161.921738;597.446594;376.266235;218.448654;364.819946;188.663849;149.511780;344.050629;218.815704;347.081329;349.401215;215.982910;225.645340;363.299774;273.656769;209.646667;195.465424;299.179504;216.024597;239.300690;268.999573;245.723480;322.501373;187.424927;233.450562;219.071106;278.001862;263.622406;362.088654;352.021606;341.429779;330.284882;423.691895;410.127014;372.314148;357.851074;351.755280;374.500214;246.444702;252.390778;268.545410;293.349945;249.806854;440.772339;388.697998;231.121521;247.487534;252.145020;350.666168;232.144073;256.616333;159.292206;252.622009;155.297867;90.001076;76.374435;151.094986;80.410080;267.920929;281.512482;300.333344;119.010406;515.757690;538.472717;568.483459;130.963043;241.668259;223.526474;418.334717;366.058777;390.767273;382.559570;456.917084;358.306641;396.038910;336.569916;211.992004;354.640472;191.609314;331.203552;240.733643;222.997513;346.315460
HP 157;292.998291;108.725922;432.824463;424.704041;446.282104;458.512848;563.613464;589.950134;596.697693;121.026062;444.145721;358.748779;344.064728;343.660156;321.490967;320.994110;321.074829;132.560532;110.630585;93.025848;74.460831;315.418732;350.007660;377.216797;329.216675;364.108093;390.035614;177.323563;497.885498;522.852234;519.402588;500.837585;573.497192;271.006531;322.626831;193.311722;163.879761;645.564819;298.292297;321.197083;484.548187;401.064087;367.254517;198.426453;216.334335;138.765091;105.400848;153.048126;64.550858;0.000000;75.664093;78.883423;181.647461;82.286118;173.292175;151.313202;130.022766;103.014000;163.762024;222.594193;328.055206;210.341324;82.459869;294.209991;274.238586;311.767059;226.472595;661.997498;440.817139;193.688492;429.370789;124.112984;214.062637;408.601471;283.366577;411.632172;413.952057;280.533752;219.051086;298.748993;338.207642;202.490479;217.784897;321.498993;238.344070;261.620178;291.319061;268.042969;387.052216;251.975784;298.001404;283.621979;342.552704;328.173279;426.639496;416.572449;405.980621;394.835724;488.242767;474.677887;436.865021;422.401947;416.306122;439.051056;310.995544;316.941620;333.096252;357.900787;314.357697;505.323212;453.248871;253.440994;269.807007;228.038528;286.115387;167.593216;256.481445;159.157288;317.172882;219.848724;69.522911;55.896271;130.616821;93.581299;267.786041;281.377594;300.198456;54.459549;580.308594;603.023682;633.034363;195.513901;177.117401;158.975616;482.885590;430.609650;455.318146;447.110443;521.467957;422.857483;460.589752;401.120758;147.441147;419.191315;213.928787;266.652771;176.182785;158.446655;410.866302
